SerialNo,StationName,StationCode,Day,ScheduleArrival,ActualArrival,DelayInArrival,ScheduleDeparture,ActualDeparture,DelayInDeparture
1,Jhajha,JAJ,0,Source,Source,-,01:20PM,01:20PM,00 M
2,Narganjo Halt,NRGO,0,01:31PM,01:31PM,00 M,01:32PM,01:34PM,02 M
3,Simultala,STL,0,01:43PM,01:43PM,00 M,01:44PM,01:44PM,00 M
4,Lahabon,LHB,0,01:55PM,02:05PM,10 M,01:56PM,02:06PM,10 M
5,Jasidih,JSME,0,02:08PM,02:23PM,15 M,02:10PM,02:26PM,16 M
6,Kumrabad Rohini,KBQ,0,02:16PM,02:16PM,00 M,02:17PM,02:17PM,00 M
7,Sankarpur,SNQ,0,02:21PM,02:21PM,00 M,02:22PM,02:22PM,00 M
8,Mathurapur,MUW,0,02:29PM,02:29PM,00 M,02:30PM,02:30PM,00 M
9,Madhupur,MDP,0,02:42PM,02:42PM,00 M,02:45PM,02:45PM,00 M
10,Joramow,JRW,0,02:53PM,02:53PM,00 M,02:54PM,02:54PM,00 M
11,Madankata,MNC,0,02:59PM,02:59PM,00 M,03:00PM,03:00PM,00 M
12,Vidyasagar,VDS,0,03:08PM,03:08PM,00 M,03:09PM,03:09PM,00 M
13,Kaseetar,KEE,0,03:17PM,03:17PM,00 M,03:18PM,03:18PM,00 M
14,Jamtara,JMT,0,03:25PM,03:25PM,00 M,03:26PM,03:26PM,00 M
15,Chittaranjan,CRJ,0,03:39PM,03:39PM,00 M,03:41PM,03:41PM,00 M
16,Rupnarayanpur,RNPR,0,03:47PM,03:47PM,00 M,03:48PM,03:48PM,00 M
17,Salanpur,SLS,0,03:54PM,03:54PM,00 M,03:55PM,03:55PM,00 M
18,Sitarampur,STN,0,04:01PM,04:01PM,00 M,04:02PM,04:02PM,00 M
19,Barachak,BCQ,0,04:08PM,04:08PM,00 M,04:09PM,04:09PM,00 M
20,Asansol,ASN,0,04:35PM,04:35PM,00 M,Destination,Destination,-
